id,startTime,week,visTeam,homeTeam,created_at,updated_at
13_LV_NYJ,2020-12-06 01:00 PM,13,LV,NYJ,2020-11-12 03:39:48,2020-11-12 03:39:48
13_NE_LAC,2020-12-06 04:25 PM,13,NE,LAC,2020-11-12 03:39:48,2020-11-12 03:39:48
13_NO_ATL,2020-12-06 01:00 PM,13,NO,ATL,2020-11-12 03:39:48,2020-11-12 03:39:48
13_NYG_SEA,2020-12-06 04:05 PM,13,NYG,SEA,2020-11-12 03:39:48,2020-11-12 03:39:48
13_PHI_GB,2020-12-06 04:25 PM,13,PHI,GB,2020-11-12 03:39:48,2020-11-12 03:39:48
13_WAS_PIT,2020-12-06 01:00 PM,13,WAS,PIT,2020-11-12 03:39:48,2020-11-12 03:39:48
14_ARI_NYG,2020-12-13 01:00 PM,14,ARI,NYG,2020-11-12 03:39:48,2020-11-12 03:39:48
14_ATL_LAC,2020-12-13 04:25 PM,14,ATL,LAC,2020-11-12 03:39:48,2020-11-12 03:39:48
14_BAL_CLE,2020-12-14 08:15 PM,14,BAL,CLE,2020-11-12 03:39:48,2020-11-12 03:39:48
14_DAL_CIN,2020-12-13 01:00 PM,14,DAL,CIN,2020-11-12 03:39:48,2020-11-12 03:39:48
14_DEN_CAR,2020-12-13 01:00 PM,14,DEN,CAR,2020-11-12 03:39:48,2020-11-12 03:39:48
14_GB_DET,2020-12-13 01:00 PM,14,GB,DET,2020-11-12 03:39:48,2020-11-12 03:39:48
14_HOU_CHI,2020-12-13 01:00 PM,14,HOU,CHI,2020-11-12 03:39:48,2020-11-12 03:39:48
14_IND_LV,2020-12-13 04:05 PM,14,IND,LV,2020-11-12 03:39:48,2020-11-12 03:39:48
14_KC_MIA,2020-12-13 01:00 PM,14,KC,MIA,2020-11-12 03:39:48,2020-11-12 03:39:48
14_MIN_TB,2020-12-13 01:00 PM,14,MIN,TB,2020-11-12 03:39:48,2020-11-12 03:39:48
14_NE_LAR,2020-12-10 08:20 PM,14,NE,LAR,2020-11-12 03:39:48,2020-11-12 03:39:48
14_NO_PHI,2020-12-13 04:25 PM,14,NO,PHI,2020-11-12 03:39:48,2020-11-12 03:39:48
14_NYJ_SEA,2020-12-13 04:05 PM,14,NYJ,SEA,2020-11-12 03:39:48,2020-11-12 03:39:48
14_PIT_BUF,2020-12-13 08:20 PM,14,PIT,BUF,2020-11-12 03:39:48,2020-11-12 03:39:48
14_TEN_JAX,2020-12-13 01:00 PM,14,TEN,JAX,2020-11-12 03:39:48,2020-11-12 03:39:48
14_WAS_SF,2020-12-13 04:25 PM,14,WAS,SF,2020-11-12 03:39:48,2020-11-12 03:39:48
15_BUF_DEN,2020-12-20 01:00 PM,15,BUF,DEN,2020-11-12 03:39:48,2020-11-12 03:39:48
15_CAR_GB,2020-12-20 01:00 PM,15,CAR,GB,2020-11-12 03:39:48,2020-11-12 03:39:48
15_CHI_MIN,2020-12-20 01:00 PM,15,CHI,MIN,2020-11-12 03:39:48,2020-11-12 03:39:48
15_CLE_NYG,2020-12-20 01:00 PM,15,CLE,NYG,2020-11-12 03:39:48,2020-11-12 03:39:48
15_DET_TEN,2020-12-20 01:00 PM,15,DET,TEN,2020-11-12 03:39:48,2020-11-12 03:39:48
15_HOU_IND,2020-12-20 01:00 PM,15,HOU,IND,2020-11-12 03:39:48,2020-11-12 03:39:48
15_JAX_BAL,2020-12-20 01:00 PM,15,JAX,BAL,2020-11-12 03:39:48,2020-11-12 03:39:48
15_KC_NO,2020-12-20 04:25 PM,15,KC,NO,2020-11-12 03:39:48,2020-11-12 03:39:48
15_LAC_LV,2020-12-17 08:20 PM,15,LAC,LV,2020-11-12 03:39:48,2020-11-12 03:39:48
15_NE_MIA,2020-12-20 01:00 PM,15,NE,MIA,2020-11-12 03:39:48,2020-11-12 03:39:48
15_NYJ_LAR,2020-12-20 01:00 PM,15,NYJ,LAR,2020-11-12 03:39:48,2020-11-12 03:39:48
15_PHI_ARI,2020-12-20 04:05 PM,15,PHI,ARI,2020-11-12 03:39:48,2020-11-12 03:39:48
15_PIT_CIN,2020-12-21 08:15 PM,15,PIT,CIN,2020-11-12 03:39:48,2020-11-12 03:39:48
15_SEA_WAS,2020-12-20 01:00 PM,15,SEA,WAS,2020-11-12 03:39:48,2020-11-12 03:39:48
15_SF_DAL,2020-12-20 08:20 PM,15,SF,DAL,2020-11-12 03:39:48,2020-11-12 03:39:48
15_TB_ATL,2020-12-20 01:00 PM,15,TB,ATL,2020-11-12 03:39:48,2020-11-12 03:39:48
16_ATL_KC,2020-12-27 01:00 PM,16,ATL,KC,2020-11-12 03:39:48,2020-11-12 03:39:48
16_BUF_NE,2020-12-28 08:15 PM,16,BUF,NE,2020-11-12 03:39:48,2020-11-12 03:39:48
16_CAR_WAS,2020-12-27 01:00 PM,16,CAR,WAS,2020-11-12 03:39:48,2020-11-12 03:39:48
16_CHI_JAX,2020-12-27 01:00 PM,16,CHI,JAX,2020-11-12 03:39:48,2020-11-12 03:39:48
16_CIN_HOU,2020-12-27 01:00 PM,16,CIN,HOU,2020-11-12 03:39:48,2020-11-12 03:39:48
16_CLE_NYJ,2020-12-27 01:00 PM,16,CLE,NYJ,2020-11-12 03:39:48,2020-11-12 03:39:48
16_DEN_LAC,2020-12-27 01:00 PM,16,DEN,LAC,2020-11-12 03:39:48,2020-11-12 03:39:48
16_IND_PIT,2020-12-27 01:00 PM,16,IND,PIT,2020-11-12 03:39:48,2020-11-12 03:39:48
16_LAR_SEA,2020-12-27 04:05 PM,16,LAR,SEA,2020-11-12 03:39:48,2020-11-12 03:39:48
16_MIA_LV,2020-12-27 01:00 PM,16,MIA,LV,2020-11-12 03:39:48,2020-11-12 03:39:48
16_MIN_NO,2020-12-25 04:30 PM,16,MIN,NO,2020-11-12 03:39:48,2020-11-12 03:39:48
16_NYG_BAL,2020-12-27 01:00 PM,16,NYG,BAL,2020-11-12 03:39:48,2020-11-12 03:39:48
16_PHI_DAL,2020-12-27 04:25 PM,16,PHI,DAL,2020-11-12 03:39:48,2020-11-12 03:39:48
16_SF_ARI,2020-12-27 01:00 AM,16,SF,ARI,2020-11-12 03:39:48,2020-11-12 03:39:48
16_TB_DET,2020-12-27 01:00 PM,16,TB,DET,2020-11-12 03:39:48,2020-11-12 03:39:48
16_TEN_GB,2020-12-27 08:20 PM,16,TEN,GB,2020-11-12 03:39:48,2020-11-12 03:39:48
17_ARI_LAR,2021-01-03 04:25 PM,17,ARI,LAR,2020-11-12 03:39:48,2020-11-12 03:39:48
17_ATL_TB,2021-01-03 01:00 PM,17,ATL,TB,2020-11-12 03:39:48,2020-11-12 03:39:48
17_BAL_CIN,2021-01-03 01:00 PM,17,BAL,CIN,2020-11-12 03:39:48,2020-11-12 03:39:48
17_DAL_NYG,2021-01-03 01:00 PM,17,DAL,NYG,2020-11-12 03:39:48,2020-11-12 03:39:48
17_GB_CHI,2021-01-03 01:00 PM,17,GB,CHI,2020-11-12 03:39:48,2020-11-12 03:39:48
17_JAX_IND,2021-01-03 01:00 PM,17,JAX,IND,2020-11-12 03:39:48,2020-11-12 03:39:48
17_LAC_KC,2021-01-03 01:00 PM,17,LAC,KC,2020-11-12 03:39:48,2020-11-12 03:39:48
17_LV_DEN,2021-01-03 04:25 PM,17,LV,DEN,2020-11-12 03:39:48,2020-11-12 03:39:48
17_MIA_BUF,2021-01-03 01:00 PM,17,MIA,BUF,2020-11-12 03:39:48,2020-11-12 03:39:48
17_MIN_DET,2021-01-03 01:00 PM,17,MIN,DET,2020-11-12 03:39:48,2020-11-12 03:39:48
17_NO_CAR,2021-01-03 01:00 PM,17,NO,CAR,2020-11-12 03:39:48,2020-11-12 03:39:48
17_NYJ_NE,2021-01-03 01:00 PM,17,NYJ,NE,2020-11-12 03:39:48,2020-11-12 03:39:48
17_PIT_CLE,2021-01-03 01:00 PM,17,PIT,CLE,2020-11-12 03:39:48,2020-11-12 03:39:48
17_SEA_SF,2021-01-03 04:25 PM,17,SEA,SF,2020-11-12 03:39:48,2020-11-12 03:39:48
17_TEN_HOU,2021-01-03 01:00 PM,17,TEN,HOU,2020-11-12 03:39:48,2020-11-12 03:39:48
17_WAS_PHI,2021-01-03 01:00 PM,17,WAS,PHI,2020-11-12 03:39:48,2020-11-12 03:39:48
1_ARI_SF,2020-09-13 04:25 PM,1,ARI,SF,2020-11-12 03:39:48,2020-11-12 03:39:48
1_BAL_CLE,2020-09-13 01:00 PM,1,BAL,CLE,2020-11-12 03:39:48,2020-11-12 03:39:48
1_BUF_NYJ,2020-09-13 01:00 PM,1,BUF,NYJ,2020-11-12 03:39:48,2020-11-12 03:39:48
1_CHI_DET,2020-09-13 01:00 PM,1,CHI,DET,2020-11-12 03:39:48,2020-11-12 03:39:48
1_GB_MIN,2020-09-13 01:00 PM,1,GB,MIN,2020-11-12 03:39:48,2020-11-12 03:39:48
1_JAX_IND,2020-09-13 01:00 PM,1,JAX,IND,2020-11-12 03:39:48,2020-11-12 03:39:48
1_KC_HOU,2020-09-10 08:20 PM,1,KC,HOU,2020-11-12 03:39:48,2020-11-12 03:39:48
1_LAC_CIN,2020-09-13 04:05 PM,1,LAC,CIN,2020-11-12 03:39:48,2020-11-12 03:39:48
1_LAR_DAL,2020-09-13 08:20 PM,1,LAR,DAL,2020-11-12 03:39:48,2020-11-12 03:39:48
1_LV_CAR,2020-09-13 01:00 PM,1,LV,CAR,2020-11-12 03:39:48,2020-11-12 03:39:48
1_NE_MIA,2020-09-13 01:00 PM,1,NE,MIA,2020-11-12 03:39:48,2020-11-12 03:39:48
1_NO_TB,2020-09-13 04:25 PM,1,NO,TB,2020-11-12 03:39:48,2020-11-12 03:39:48
1_PIT_NYG,2020-09-14 07:15 PM,1,PIT,NYG,2020-11-12 03:39:48,2020-11-12 03:39:48
1_SEA_ATL,2020-09-13 01:00 PM,1,SEA,ATL,2020-11-12 03:39:48,2020-11-12 03:39:48
1_TEN_DEN,2020-09-14 10:10 PM,1,TEN,DEN,2020-11-12 03:39:48,2020-11-12 03:39:48
1_WAS_PHI,2020-09-13 01:00 PM,1,WAS,PHI,2020-11-12 03:39:48,2020-11-12 03:39:48
2_ARI_WAS,2020-09-20 04:05 PM,2,ARI,WAS,2020-11-12 03:39:49,2020-11-12 03:39:49
2_BAL_HOU,2020-09-20 04:25 PM,2,BAL,HOU,2020-11-12 03:39:48,2020-11-12 03:39:48
2_BUF_MIA,2020-09-20 01:00 PM,2,BUF,MIA,2020-11-12 03:39:48,2020-11-12 03:39:48
2_CHI_NYG,2020-09-20 01:00 PM,2,CHI,NYG,2020-11-12 03:39:49,2020-11-12 03:39:49
2_CLE_CIN,2020-09-17 08:20 PM,2,CLE,CIN,2020-11-12 03:39:48,2020-11-12 03:39:48
2_DAL_ATL,2020-09-20 01:00 PM,2,DAL,ATL,2020-11-12 03:39:48,2020-11-12 03:39:48
2_GB_DET,2020-09-20 01:00 PM,2,GB,DET,2020-11-12 03:39:48,2020-11-12 03:39:48
2_IND_MIN,2020-09-20 01:00 PM,2,IND,MIN,2020-11-12 03:39:48,2020-11-12 03:39:48
2_KC_LAC,2020-09-20 04:25 PM,2,KC,LAC,2020-11-12 03:39:48,2020-11-12 03:39:48
2_LAR_PHI,2020-09-20 01:00 PM,2,LAR,PHI,2020-11-12 03:39:48,2020-11-12 03:39:48
2_LV_NO,2020-09-21 08:15 PM,2,LV,NO,2020-11-12 03:39:48,2020-11-12 03:39:48
2_PIT_DEN,2020-09-20 01:00 PM,2,PIT,DEN,2020-11-12 03:39:48,2020-11-12 03:39:48
2_SEA_NE,2020-09-20 08:20 PM,2,SEA,NE,2020-11-12 03:39:48,2020-11-12 03:39:48
2_SF_NYJ,2020-09-20 01:00 PM,2,SF,NYJ,2020-11-12 03:39:48,2020-11-12 03:39:48
2_TB_CAR,2020-09-20 01:00 PM,2,TB,CAR,2020-11-12 03:39:48,2020-11-12 03:39:48
2_TEN_JAX,2020-09-20 01:00 PM,2,TEN,JAX,2020-11-12 03:39:48,2020-11-12 03:39:48
